,Security,Description,Category,Subcategory
,HFRIRFD Index,HFRI RV: Fixed Income Directional Index,Index/Stats,Fund Indices
,HFRI5EEB Index,HFRI 500 EH: Energy/Basic Materials Index,Index/Stats,Fund Indices
,HFRI5EHC Index,HFRI 500 EH: Healthcare Index,Index/Stats,Fund Indices
,HFRI5EHG Index,HFRI 500 EH: Fundamental Growth Index,Index/Stats,Fund Indices
,HFRI5EHT Index,HFRI 500 EH: Technology Index,Index/Stats,Fund Indices
,HFRI5EHV Index,HFRI 500 EH: Fundamental Value Index,Index/Stats,Fund Indices
,HFRI5ELD Index,HFRI 500 EH: Long/Short Directional Index,Index/Stats,Fund Indices
,HFRI5RFI Index,HFRI 500 RV: Fixed Income Relative Value Index,Index/Stats,Fund Indices
,HFRIEHFG Index,HFRI Equity Hedge Fundamental Growth Index,Index/Stats,Fund Indices
,HFRIILRV Index,HFRI-I Liquid Alternative UCITS Relative Value Index,Index/Stats,Fund Indices
,HFRI5MSD Index,HFRI 500 Macro: Systematic Diversified Index,Index/Stats,Fund Indices
,HFRIMCUR Index,HFRI Macro Currency Index,Index/Stats,Fund Indices
,HFRIMENA Index,HFRI Emerging Markets MENA Index,Index/Stats,Fund Indices
,HFRIDVRS Index,HFRI Diversity Index,Index/Stats,Fund Indices
,HDG500Z KY Equity,abrdn Eclipse SPC - abrdn Eclipse HFRI 500 SP Class Z (CSX),Funds,Fund of Funds
,HDG5EQZ KY Equity,abrdn Eclipse Strategy SPC - abrdn Eclipse HFRI 500 Long/Short Equity SP Class Z (CSX),Funds,Fund of Funds
,HFRI4ED Index,HFRI 400 (US) Event-Driven Index,Index/Stats,Fund Indices
,HFRI4EDA Index,HFRI 400 (US) ED: Activist Index,Index/Stats,Fund Indices
,HFRI4EDB Index,HFRI 400 (US) ED: Merger Arbitrage Index,Index/Stats,Fund Indices
,HFRI4EDD Index,HFRI 400 (US) ED: Distressed/Restructuring Index,Index/Stats,Fund Indices
,HFRI4EDM Index,HFRI 400 (US) ED: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRI4EDS Index,HFRI 400 (US) ED: Special Situations Index,Index/Stats,Fund Indices
,HFRI4EEB Index,HFRI 400 (US) EH: Energy/Basic Materials Index,Index/Stats,Fund Indices
,HFRI4EH Index,HFRI 400 (US) Equity Hedge Index,Index/Stats,Fund Indices
,HFRI4EHC Index,HFRI 400 (US) EH: Healthcare Index,Index/Stats,Fund Indices
,HFRI4EHG Index,HFRI 400 (US) EH: Fundamental Growth Index,Index/Stats,Fund Indices
,HFRI4EHM Index,HFRI 400 (US) EH: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRI4EHT Index,HFRI 400 (US) EH: Technology Index,Index/Stats,Fund Indices
,HFRI4EHV Index,HFRI 400 (US) EH: Fundamental Value Index,Index/Stats,Fund Indices
,HFRI4ELS Index,HFRI 400 (US) EH: Long/Short Index,Index/Stats,Fund Indices
,HFRI4EMN Index,HFRI 400 (US) EH: Equity Market Neutral Index,Index/Stats,Fund Indices
,HFRI4EQD Index,HFRI 400 (US) EH: Quantitative Directional Index,Index/Stats,Fund Indices
,HFRI4FWC Index,HFRI 400 (US) Fund Weighted Composite Index,Index/Stats,Fund Indices
,HFRI4M Index,HFRI 400 (US) Macro Index,Index/Stats,Fund Indices
,HFRI4MCO Index,HFRI 400 (US) Macro: Commodity Index,Index/Stats,Fund Indices
,HFRI4MCU Index,HFRI 400 (US) Macro: Currency Index,Index/Stats,Fund Indices
,HFRI4MDM Index,HFRI 400 (US) Macro: Discretionary Macro Index,Index/Stats,Fund Indices
,HFRI4MDT Index,HFRI 400 (US) Macro: Discretionary Thematic Index,Index/Stats,Fund Indices
,HFRI4MMS Index,HFRI 400 (US) Macro: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRI4MSD Index,HFRI 400 (US) Macro: Systematic Diversified Index,Index/Stats,Fund Indices
,HFRI4MSM Index,HFRI 400 (US) Macro: Systematic Macro Index,Index/Stats,Fund Indices
,HFRI4RFI Index,HFRI 400 (US) RV: Fixed Income Relative Value Index,Index/Stats,Fund Indices
,HFRI4RV Index,HFRI 400 (US) Relative Value Index,Index/Stats,Fund Indices
,HFRI4RVB Index,HFRI 400 (US) RV: Fixed Income - Asset Backed Index,Index/Stats,Fund Indices
,HFRI4RVC Index,HFRI 400 (US) RV: Fixed Income - Convertible Arbitrage Index,Index/Stats,Fund Indices
,HFRI4RVM Index,HFRI 400 (US) RV: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRI4RVR Index,HFRI 400 (US) RV: Fixed Income - Corporate Index,Index/Stats,Fund Indices
,HFRI4RVS Index,HFRI 400 (US) RV: Fixed Income - Sovereign Index,Index/Stats,Fund Indices
,HFRI4RVV Index,HFRI 400 (US) RV: Volatility Index,Index/Stats,Fund Indices
,HFRI4XMA Index,HFRI 400 (US) ED: Event Driven ex-Merger Arbitrage Index,Index/Stats,Fund Indices
,HFRI5EDD Index,HFRI 500 ED: Distressed/Restructuring Index,Index/Stats,Fund Indices
,HFRI5EDR Index,HFRI 500 Event Driven Directional Index,Index/Stats,Fund Indices
,HFRI5EDS Index,HFRI 500 ED: Special Situations Index,Index/Stats,Fund Indices
,HFRI5EHM Index,HFRI 500 EH: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRI5ELS Index,HFRI 500 Equity Hedge: Long/Short Index,Index/Stats,Fund Indices
,HFRI5EM Index,HFRI 500 Emerging Markets Index,Index/Stats,Fund Indices
,HFRI5EQD Index,HFRI 500 EH: Quantitative Directional Index,Index/Stats,Fund Indices
,HFRI5LB Index,HFRI 500 Low Beta Index,Index/Stats,Fund Indices
,HFRI5MAT Index,HFRI 500 Macro: Active Trading Index,Index/Stats,Fund Indices
,HFRI5MCO Index,HFRI 500 Macro: Commodity Index,Index/Stats,Fund Indices
,HFRI5MCU Index,HFRI 500 Macro: Currency Index,Index/Stats,Fund Indices
,HFRI5MDD Index,HFRI 500 Macro: Discretionary Directional Index,Index/Stats,Fund Indices
,HFRI5MMS Index,HFRI 500 Macro: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRI5MSR Index,HFRI 500 Macro: Systematic Directional Index,Index/Stats,Fund Indices
,HFRI5MTF Index,HFRI 500 Trend Following Directional Index,Index/Stats,Fund Indices
,HFRI5RFD Index,HFRI 500 RV: Fixed Income Directional Index,Index/Stats,Fund Indices
,HFRI5RVB Index,HFRI 500 RV: Fixed Income - Asset Backed Index,Index/Stats,Fund Indices
,HFRI5RVC Index,HFRI 500 RV: Fixed Income - Convertible Arbitrage Index,Index/Stats,Fund Indices
,HFRI5RVM Index,HFRI 500 RV: Multi-Strategy Index,Index/Stats,Fund Indices
,HFRI5RVR Index,HFRI 500 RV: Fixed Income - Corporate Index,Index/Stats,Fund Indices
,HFRI5XMA Index,HFRI 500 ED: Event Driven ex-Merger Arbitrage Index,Index/Stats,Fund Indices
,HFRIAWED Index,HFRI Event-Driven Total Asset Weighted Index,Index/Stats,Fund Indices
,HFRIAWM Index,HFRI Macro Total Asset Weighted Index,Index/Stats,Fund Indices
