,Security,Description,Category,Subcategory
,EHFI264 Index,Eurekahedge Asia/Japan Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI271 Index,Eurekahedge Emerging Markets Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI5473 Index,Eurekahedge UCITS Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI561 Index,Eurekahedge UCITS Europe Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI80 Index,Eurekahedge Europe Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI813 Index,Eurekahedge Japan Hedge Fund Index (USD),Index/Stats,Miscellaneous Indices
,EHFI154 Index,Eurekahedge Large Asian Hedge Fund Index > US$250m,Index/Stats,Miscellaneous Indices
,EHFI268 Index,Eurekahedge Asia/Japan Relative Value Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI269 Index,Eurekahedge Emerging Markets Distressed Debt Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI275 Index,Eurekahedge Emerging Markets Relative Value Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI565 Index,Eurekahedge UCITS Europe Multi-Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI141 Index,Eurekahedge Japan only Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI186 Index,Eurekahedge Latin American Onshore Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI235 Index,Eurekahedge Taiwan Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI236 Index,Eurekahedge Taiwan Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI47 Index,Eurekahedge Australia New Zealand Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI594 Index,Eurekahedge UCITS Emerging Markets Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI163 Index,Eurekahedge Latin American Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI17 Index,Eurekahedge Asia Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI182 Index,Eurekahedge Latin American Onshore Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI3 Index,Eurekahedge Asia Convertible Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI812 Index,Eurekahedge Greater China Hedge Fund Index (USD),Index/Stats,Miscellaneous Indices
,EHFI11 Index,Eurekahedge Asia ex Japan Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI113 Index,Eurekahedge Greater China Fixed Income Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI116 Index,Eurekahedge Greater China Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI117 Index,Eurekahedge Greater China Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI124 Index,Eurekahedge India Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI125 Index,Eurekahedge India Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI127 Index,Eurekahedge India Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI137 Index,Eurekahedge Japan only Event Driven Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI14 Index,Eurekahedge Asia ex Japan Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI15 Index,Eurekahedge Asia ex Japan Multi Strategy Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI157 Index,Eurekahedge Large Latin American Hedge Fund Index > US$75m,Index/Stats,Miscellaneous Indices
,EHFI158 Index,Eurekahedge Large North American Hedge Fund Index > US$500m,Index/Stats,Miscellaneous Indices
,EHFI159 Index,Eurekahedge Latin American Arbitrage Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI161 Index,Eurekahedge Latin American Distressed Debt Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI164 Index,Eurekahedge Latin American Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI165 Index,Eurekahedge Latin American Long Short Equities Hedge Fund Index,Index/Stats,Miscellaneous Indices
,EHFI166 Index,Eurekahedge Latin American Macro Hedge Fund Index,Index/Stats,Miscellaneous Indices
